Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below primary - Persons,Educational level - Below primary - Males,Educational level - Below primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2308,00,00,0000,INDIA,Total,All ages,1028610328,532156772,496453556,467922531,195623056,272299475,560687797,336533716,224154081,20022966,11361139,8661827,144831273,81148130,63683143,146740047,83525450,63214597,90226846,55940422,34286424,79229721,51201516,28028205,37816215,24596339,13219876,386146,258604,127542,3666680,2900839,765841,37670147,25533308,12136839,97756,67969,29787
C2308,00,00,0000,INDIA,Total,0-6,163819614,84999203,78820411,163819614,84999203,78820411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,00,00,0000,INDIA,Total,7,23045028,11910330,11134698,8720380,4191846,4528534,14324648,7718484,6606164,217629,123501,94128,14104276,7593470,6510806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,1513,1230
C2308,00,00,0000,INDIA,Total,8,31031074,16174274,14856800,9184617,4232981,4951636,21846457,11941293,9905164,275515,154409,121106,21568111,11785317,9782794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,1567,1264
C2308,00,00,0000,INDIA,Total,9,20868238,10770638,10097600,3840288,1654757,2185531,17027950,9115881,7912069,139366,74787,64579,15580991,8349151,7231840,1306139,691102,615037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1454,841,613
C2308,00,00,0000,INDIA,Total,10,33855378,17941703,15913675,7494634,3234323,4260311,26360744,14707380,11653364,309601,171194,138407,18833389,10506269,8327120,7214986,4028183,3186803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,1734,1034
C2308,00,00,0000,INDIA,Total,11,18078949,9505257,8573692,2332837,922997,1409840,15746112,8582260,7163852,126825,67101,59724,6526504,3578853,2947651,9091526,4935470,4156056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,836,421
C2308,00,00,0000,INDIA,Total,12,30427429,16153819,14273610,6035010,2458357,3576653,24392419,13695462,10696957,290534,153377,137157,7008526,3919475,3089051,15426663,8692168,6734495,1664109,928825,735284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587,1617,970
C2308,00,00,0000,INDIA,Total,13,19897051,10219364,9677687,2984089,1088657,1895432,16912962,9130707,7782255,177746,85758,91988,2594503,1352440,1242063,10227775,5627516,4600259,3911437,2064089,1847348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,904,597
C2308,00,00,0000,INDIA,Total,14,22588051,11812734,10775317,3984448,1506175,2478273,18603603,10306559,8297044,252730,124372,128358,2275680,1199734,1075946,7732852,4368119,3364733,8340560,4613258,3727302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1076,705
C2308,00,00,0000,INDIA,Total,15,22521059,12225932,10295127,4669764,1968453,2701311,17851295,10257479,7593816,327363,172691,154672,1908716,1058818,849898,5319974,3099133,2220841,7325814,4316139,3009675,2967756,1609662,1358094,0,0,0,0,0,0,0,0,0,0,0,0,1672,1036,636
C2308,00,00,0000,INDIA,Total,16,21777810,11572289,10205521,4458248,1770671,2687577,17319562,9801618,7517944,353554,180878,172676,1657015,900398,756617,4121467,2307024,1814443,5592663,3355329,2237334,5593055,3056886,2536169,0,0,0,0,0,0,0,0,0,0,0,0,1808,1103,705
C2308,00,00,0000,INDIA,Total,17,14898862,8033721,6865141,2430480,933815,1496665,12468382,7099906,5368476,252866,131234,121632,973668,533136,440532,2461863,1373783,1088080,3134492,1897630,1236862,5643993,3163126,2480867,0,0,0,0,0,0,0,0,0,0,0,0,1500,997,503
C2308,00,00,0000,INDIA,Total,18,27686902,15166111,12520791,6699157,2622764,4076393,20987745,12543347,8444398,589560,318027,271533,1990156,1133794,856362,4549718,2627855,1921863,4790967,3036524,1754443,5008976,3135715,1873261,3903591,2171065,1732526,15332,9866,5466,136444,108562,27882,0,0,0,3001,1939,1062
C2308,00,00,0000,INDIA,Total,19,13331257,6941938,6389319,2496126,806859,1689267,10835131,6135079,4700052,291103,148827,142276,879863,460358,419505,2037445,1079973,957472,2213237,1302165,911072,2346400,1413784,932616,2919781,1616366,1303415,12357,7925,4432,133000,104331,28669,0,0,0,1945,1350,595
C2308,00,00,0000,INDIA,Total,20-24,89764132,46321150,43442982,24032678,7746483,16286195,65731454,38574667,27156787,2301321,1185600,1115721,5989068,3176869,2812199,13293676,7166455,6127221,12665973,7745609,4920364,12785545,7909485,4876060,11010388,6760798,4249590,75542,50376,25166,828300,658769,169531,6768807,3912315,2856492,12834,8391,4443
C2308,00,00,0000,INDIA,Total,25-29,83422393,41557546,41864847,27490444,8693588,18796856,55931949,32863958,23067991,2414529,1256067,1158462,6172030,3191790,2980240,12146228,6362898,5783330,10053436,6126984,3926452,10518628,6560128,3958500,6051489,3927811,2123678,62343,41528,20815,606895,487472,119423,7895841,4902358,2993483,10530,6922,3608
C2308,00,00,0000,INDIA,Total,30-34,74274044,37361916,36912128,28461043,9413374,19047669,45813001,27948542,17864459,2221618,1197432,1024186,6052448,3292710,2759738,10452862,5634876,4817986,7830229,4942068,2888161,8374744,5488101,2886643,4220499,2888489,1332010,50844,33690,17154,477570,383834,93736,6123610,4081507,2042103,8577,5835,2742
C2308,00,00,0000,INDIA,Total,35-39,70574085,36038727,34535358,29501579,10395584,19105995,41072506,25643143,15429363,2117006,1204203,912803,6434112,3698433,2735679,10308651,5776223,4532428,6711409,4333557,2377852,7098780,4753689,2345091,3126685,2185219,941466,39230,24858,14372,362136,287691,74445,4866853,3373983,1492870,7644,5287,2357
C2308,00,00,0000,INDIA,Total,40-44,55738297,29878715,25859582,24260997,9120524,15140473,31477300,20758191,10719109,1633338,990758,642580,5088362,3098943,1989419,8032649,4835168,3197481,4930278,3358682,1571596,5553445,3908068,1645377,2168452,1589559,578893,31806,20466,11340,266669,212236,54433,3765445,2739275,1026170,6856,5036,1820
C2308,00,00,0000,INDIA,Total,45-49,47408976,24867886,22541090,21626822,7634169,13992653,25782154,17233717,8548437,1345732,823388,522344,4418741,2662975,1755766,6703278,4065258,2638020,3846040,2656131,1189909,4536818,3293169,1243649,1665026,1256960,408066,27365,17941,9424,218832,171766,47066,3013821,2281120,732701,6501,5009,1492
C2308,00,00,0000,INDIA,Total,50-54,36587559,19851608,16735951,18198203,6940372,11257831,18389356,12911236,5478120,1027385,664446,362939,3423954,2173708,1250246,4747382,3059297,1688085,2497772,1805191,692581,3204312,2454523,749789,1107450,876895,230555,22549,16752,5797,222721,169299,53422,2130682,1686886,443796,5149,4239,910
C2308,00,00,0000,INDIA,Total,55-59,27653347,13583022,14070325,15060731,4850188,10210543,12592616,8732834,3859782,748419,464544,283875,2820846,1762012,1058834,3410563,2173972,1236591,1590382,1143612,446770,1987200,1547377,439823,633401,510497,122904,16514,12343,4171,169721,131484,38237,1211540,983569,227971,4030,3424,606
C2308,00,00,0000,INDIA,Total,60-64,27516779,13586347,13930432,17172694,6212628,10960066,10344085,7373719,2970366,746061,479069,266992,2715186,1789923,925263,2938161,1995350,942811,1183709,877510,306199,1446634,1157473,289161,399378,326029,73349,13034,9258,3776,113667,87301,26366,785152,649202,135950,3103,2604,499
C2308,00,00,0000,INDIA,Total,65-69,19806955,9472103,10334852,12444352,4259846,8184506,7362603,5212257,2150346,527993,333747,194246,2253016,1487274,765742,2085604,1410253,675351,772818,567256,205562,922919,748076,174843,243568,201358,42210,8501,5865,2636,63176,47330,15846,482968,409410,73558,2040,1688,352
C2308,00,00,0000,INDIA,Total,70-74,14708644,7527688,7180956,9699778,3832611,5867167,5008866,3695077,1313789,401819,265277,136542,1640565,1157173,483392,1455464,1048190,407274,496331,377808,118523,557391,463927,93464,145666,120107,25559,4867,3407,1460,32852,24348,8504,272465,233602,38863,1446,1238,208
C2308,00,00,0000,INDIA,Total,75-79,6551225,3263209,3288016,4079679,1485958,2593721,2471546,1777251,694295,185917,119801,66116,810422,553041,257381,713329,502464,210865,256129,190525,65604,280001,227531,52470,75498,59488,16010,2503,1765,738,14523,10667,3856,132367,111261,21106,857,708,149
C2308,00,00,0000,INDIA,Total,80+,8038718,3918980,4119738,5402631,2022589,3380042,2636087,1896391,739696,235177,148663,86514,879609,596458,283151,737923,529677,208246,274709,208903,65806,274336,224342,49994,81096,63425,17671,2476,1915,561,13949,10741,3208,135835,111448,24387,977,819,158
C2308,00,00,0000,INDIA,Total,Age not stated,2738472,1500562,1237910,1341208,623284,717924,1397264,877278,519986,512259,321988,190271,231516,135608,95908,223869,135043,88826,144352,92627,51725,128788,86454,42334,64247,42273,21974,883,649,234,6225,5008,1217,84761,57372,27389,364,256,108
C2308,00,00,0000,INDIA,Rural,All ages,742490639,381602674,360887965,380619822,158051033,222568789,361870817,223551641,138319176,14615424,8387028,6228396,110003318,62657511,47345807,102382680,60239957,42142723,58782622,38086609,20696013,43960211,30254014,13706197,18164354,13010597,5153757,145667,92944,52723,1599821,1267869,331952,12160507,9515428,2645079,56213,39684,16529
C2308,00,00,0000,INDIA,Rural,0-6,126470497,65407648,61062849,126470497,65407648,61062849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2308,00,00,0000,INDIA,Rural,7,17360501,8950259,8410242,7284338,3477904,3806434,10076163,5472355,4603808,168157,95658,72499,9906164,5375688,4530476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842,1009,833
C2308,00,00,0000,INDIA,Rural,8,23981724,12475322,11506402,7909471,3614382,4295089,16072253,8860940,7211313,223678,125347,98331,15846505,8734467,7112038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,1126,944
C2308,00,00,0000,INDIA,Rural,9,15751933,8118667,7633266,3265890,1384608,1881282,12486043,6734059,5751984,110382,58793,51589,11542389,6218557,5323832,832206,456122,376084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,587,479
C2308,00,00,0000,INDIA,Rural,10,25813075,13661419,12151656,6465327,2745568,3719759,19347748,10915851,8431897,252084,138603,113481,14340552,8037586,6302966,4753113,2738433,2014680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,1229,770
C2308,00,00,0000,INDIA,Rural,11,13013528,6844903,6168625,1943431,745320,1198111,11070097,6099583,4970514,97073,50165,46908,4973019,2717342,2255677,5999147,3331538,2667609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,538,320
C2308,00,00,0000,INDIA,Rural,12,22868526,12137327,10731199,5190368,2063449,3126919,17678158,10073878,7604280,236785,123117,113668,5677031,3168648,2508383,10773817,6195713,4578104,988610,585246,403364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,1154,761
