IN,INDIA,country,-
AP,ANDHRA PRADESH,state,South
AR,ARUNACHAL PRADESH,state,Northeast
AS,ASSAM,state,Northeast
BR,BIHAR,state,East
CT,CHHATTISGARH,state,North
GA,GOA,state,West
GJ,GUJARAT,state,West
HR,HARYANA,state,North
HP,HIMACHAL PRADESH,state,North
JK,JAMMU & KASHMIR,state,North
JH,JHARKHAND,state,East
KA,KARNATAKA,state,South
KL,KERALA,state,South
MP,MADHYA PRADESH,state,North
MH,MAHARASHTRA,state,West
MN,MANIPUR,state,Northeast
ML,MEGHALAYA,state,Northeast
MZ,MIZORAM,state,Northeast
NL,NAGALAND,state,Northeast
OR,ORISSA,state,East
PB,PUNJAB,state,North
RJ,RAJASTHAN,state,North
SK,SIKKIM,state,Northeast
TN,TAMIL NADU,state,South
TG,TELANGANA,state,South
TR,TRIPURA,state,Northeast
UT,UTTARANCHAL,state,North
UP,UTTAR PRADESH,state,North
WB,WEST BENGAL,state,East
AN,ANDAMAN & NICOBAR ISLANDS,Union territory,East
CH,CHANDIGARH,Union territory,North
DN,DADRA & NAGAR HAVELI,Union territory,West
DD,DAMAN & DIU,Union territory,West
DL,DELHI,Union territory,North
LD,LAKSHADWEEP,Union territory,West
PY,PONDICHERRY,Union territory,South
